用户名,推荐,游戏时长,评论
Hitachi Mako,Not Recommended,4.6 hrs on record (2.1 hrs at review time),真他妈好玩
普拉娜プラナ,Recommended,0.5 hrs on record,我是忠臣啊
耐摔王牢大,Not Recommended,1.4 hrs on record,玩过三国杀之后我的电脑突然地不能关游戏了，我觉得是三国杀的问题所以我来打个差评
念青思,Not Recommended,0.1 hrs on record,今天喝冰水冰着了，一定是三国杀干的，给他个好评
bad man,Not Recommended,24.6 hrs on record,面杀老玩家想和好友聚一聚玩一玩但是什么武将都没有要肝要氪金不然没有武将玩那种老武将也要肝等级希望可以直接玩那些没有强度的老武将那些新出的武将花钱体验让我们这些偶尔想娱乐一下的老玩家能玩的下去我是真心喜欢这款游戏也希望它可以一直蒸蒸日上
八十万萝莉军总教头,Not Recommended,2.3 hrs on record,草泥马的三国杀，毁我一生，sb狗卡
蕐仙铃,Recommended,0.1 hrs on record,真好玩，比隔壁一个叫《星引擎》的大富翁游戏好玩多了，跟《星引擎》比起来堪称良心大作
春山寄,Not Recommended,0.4 hrs on record (0.4 hrs at review time),果然我应该不对这个游戏抱有希望
落笔,Not Recommended,46.0 hrs on record (38.4 hrs at review time),今天考试，打个差评
grylbn7,Recommended,134.9 hrs on record (134.5 hrs at review time),好玩真好玩
局部残雪,Not Recommended,0.2 hrs on record,不推荐喵
蔬菜饼干密斯卡莫斯卡,Not Recommended,136.9 hrs on record (136.3 hrs at review time),点赞的牛子增长5cm
机凯种小休比,Recommended,0.2 hrs on record,请帮我給Milky Way Idle - 银河奶牛放置 一个差评作为回报我会改成差评的
纯情理塘王子不会梦到dank1ng,Not Recommended,815.3 hrs on record (812.9 hrs at review time),史
Qc,Not Recommended,1.4 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
HM824nvo,Not Recommended,36.6 hrs on record (33.1 hrs at review time),纯纯垃圾游戏
汉世宗孝武皇帝,Not Recommended,0.2 hrs on record (0.1 hrs at review time),煞笔新手引导
兰斯佩基,Not Recommended,1.4 hrs on record,氪归氪，以前小氪，也能有体验感，平民玩家也能玩，可现在什么玩意？一个曾经风靡全国的游戏，现在像个什么样子，看看游戏里的风气，去至尊房，你不氪个几千几万，还有人嘲讽你穷，古代阶级社会给在这个游戏完全再现了，还有那么多人玩，只能说一些人骨子DNA里刻着奴性
MuGnc,Not Recommended,0.3 hrs on record,找不到游戏玩了 都怪三国杀 给个差评
狗熊岭第一伐木工,Not Recommended,0.9 hrs on record,垃圾游戲
龙傲天,Not Recommended,0.1 hrs on record,等价交换喵，Milky Way Idle - 银河奶牛放置 差评喵，求求喵。
↑→↓↓↓,Recommended,0.2 hrs on record,请帮我給Milky Way Idle - 银河奶牛放置 一个差评作为回报我会改成差评的
兰登修道院第一美少女偶像席德佳,Recommended,0.2 hrs on record,我是银河奶牛放置来的，我们遇到了做不好平衡还针对国人玩家的制作人，游戏制作人公开种族歧视。中文作为联合国的六大工作语言之一，被广泛使用。在此游戏中，中文玩家占比十分高，并为游戏带来了巨大的营收。但是游戏的国际交流频道不允许使用中文进行相互交流。一旦发中文，就会获得3天至10年的禁言，这是真实发生的事情。其次，游戏的运营人员，也就是GM，肆意封禁禁言玩家，甚至多次对全服禁言，禁止任何玩家发言。这游戏现在引起中文社区公愤了，我们需要三国杀玩家的力量来给银河奶牛放置刷差评，不然银河奶牛放置的中文社区玩家都要来刷好评了
irreoxg,Not Recommended,0.2 hrs on record,差评
913336722,Not Recommended,68.7 hrs on record (64.8 hrs at review time),为什么不直接设计一个武将能在游戏开始时取得胜利？
IntendedDoze,Not Recommended,0.4 hrs on record,为了打差评，我叫了我朋友八百次爹他才同意帮我解限兄弟们我做的对吗？
Ranni,Recommended,0.1 hrs on record,导管导爽了，给个差评
